zipcode,income,count
10001,90123.8591916558,15340
10002,49565.50011823126,42290
10003,105379.96545768567,28950
10004,125204.08163265306,2450
10005,116744.08783783784,5920
10006,112753.03643724696,2470
10007,133241.75824175825,3640
10009,70702.04955643928,32690
10010,108373.71721778791,17540
10011,111220.60284862538,30190
10012,102591.70653907496,12540
10013,95970.93791281374,15140
10014,114122.59615384616,18720
10016,101822.27995110024,32720
10017,114979.42386831276,12150
10018,98334.55344070279,6830
10019,100135.92233009709,25750
10021,116841.54175588865,23350
10022,119197.97330696984,20230
10023,114465.84302325582,34400
10024,111268.00916830386,30540
10025,85930.6887532694,45880
10026,58063.41861731083,18370
10027,54169.66858789625,27760
10028,109901.13547376664,25540
10029,43013.66967305524,35480
10030,42123.28767123288,13870
10031,42116.621530128636,29540
10032,40403.22580645161,29450
10033,45657.169117647056,27200
10034,46001.99900049975,20010
10035,45282.10116731517,15420
10036,89264.00634249471,18920
10037,51170.41198501873,10680
10038,85808.12101910828,12560
10039,41710.134128166916,13420
10040,45068.22386679001,21620
10044,81680.04587155963,4360
10065,113316.58291457286,15920
10069,133770.49180327868,3050
10075,112665.9678546471,14310
10128,105461.71171171172,33300
10162,134333.33333333334,750
10280,127387.97169811321,4240
10282,150732.21757322174,2390
10301,61639.34426229508,18300
10302,53348.48484848485,8250
10303,47304.907481898634,12430
10304,55267.06231454006,20220
10305,61131.61914460285,19640
10306,70501.46145414688,27370
10307,81268.88217522658,6620
10308,76123.1884057971,13800
10309,79936.14931237721,15270
10310,61002.15517241379,11600
10312,78127.12152070604,29460
10314,69501.09249817918,41190
10451,34673.68421052631,23750
10452,29619.712581344902,36880
10453,28504.672897196262,38520
10454,29534.774436090225,15960
10455,30282.0796460177,18080
10456,28554.849743464452,40930
10457,28873.08039747064,33210
10458,31116.483833718245,34640
10459,30680.24062933827,21610
10460,30807.54352030948,25850
10461,53371.47527584797,24470
10462,44542.56115826261,40060
10463,60070.76159906624,34270
10464,77236.23853211009,2180
10465,63118.37455830388,19810
10466,41828.66184448463,33180
10467,36853.543133802814,45440
10468,32218.844984802432,36190
10469,47773.032336790726,32780
10470,54263.19176319176,7770
10471,84752.74725274726,10010
10472,32493.093922651933,28960
10473,41659.35415935416,28490
10474,30193.836978131214,5030
10475,51090.02169197397,23050
10501,97014.92537313433,670
10502,110975.60975609756,2870
10504,119851.19047619047,4200
10505,85641.8918918919,740
10506,116771.58273381295,2780
10507,78206.31970260222,2690
10509,77716.84945164506,10030
10510,117064.3153526971,4820
10511,76388.88888888889,1170
10512,79246.03174603175,12600
10514,128159.59409594096,5420
10516,90476.19047619047,2730
10518,103000.0,750
10520,95438.66459627329,6440
10522,98260.66790352504,5390
10523,69134.22131147541,4880
10524,93689.90384615384,2080
10526,97000.0,1000
10527,107880.43478260869,460
10528,91143.21608040201,5970
10530,96502.7700831025,7220
10532,93339.76833976834,2590
10533,111400.0,3750
10535,67187.5,400
10536,110400.390625,5120
10537,67956.3492063492,1260
10538,120260.73619631902,8150
10541,82871.09375,12800
10543,87422.9188078109,9730
10546,113392.85714285714,700
10547,77594.3396226415,3710
10548,80303.0303030303,1650
10549,83515.15151515152,8250
10550,41165.55783009212,19540
10552,71632.88288288288,11100
10553,53093.43434343435,5940
10560,97649.08256880734,2180
10562,72605.72139303482,16080
10566,57284.100080710254,12390
10567,90748.730964467,9850
10570,104524.79338842975,6050
10573,66122.04724409449,19050
10576,115322.58064516129,2480
10577,113629.03225806452,1550
10578,83522.72727272728,440
10579,89502.28832951945,4370
10580,117204.79704797048,8130
10583,118611.40443505808,18940
10588,82894.73684210527,1330
10589,98940.21739130435,4600
10590,104009.43396226416,3180
10591,78366.58354114713,12030
10594,93225.19083969465,2620
10595,96086.62613981763,3290
10597,117892.1568627451,510
10598,94170.06109979634,14730
10601,78860.29411764706,6120
10603,74572.86432160804,9950
10604,76897.9057591623,5730
10605,96144.40078585461,10180
10606,64260.14319809069,8380
10607,81865.76354679803,4060
10701,49105.92643051771,29360
10703,56446.033210332105,10840
10704,65646.90420560748,17120
10705,47733.333333333336,18750
10706,105851.64835164836,4550
10707,93558.42911877394,5220
10708,101056.94564279552,11590
10709,94778.80658436214,4860
10710,75766.92524682652,14180
10801,61171.207264957266,18720
10803,107035.07340946166,6130
10804,117008.48656294201,7070
10805,64540.54054054054,9250
10901,81777.63272410793,11490
10913,93773.76425855514,2630
10916,86181.19266055046,2180
10917,76593.13725490196,1020
10918,78055.07745266781,5810
10919,70286.88524590163,610
10920,83826.75438596492,4560
10921,74204.54545454546,2200
10923,64209.183673469386,4900
10924,80651.49136577708,6370
10925,70866.53386454184,2510
10926,69196.42857142857,1960
10927,42263.84364820847,6140
10928,56581.85840707965,2260
10930,83058.08656036446,4390
10931,56127.450980392154,510
10940,55476.622329705766,24810
10941,62066.57420249653,7210
10950,67645.41387024609,17880
10952,60905.30903328051,12620
10954,77296.32587859425,12520
10956,94372.66500622666,16060
10958,71990.74074074074,1620
10960,77612.17948717948,7800
10962,88990.38461538461,2600
10963,67036.29032258065,1240
10964,99177.63157894737,760
10965,88778.0548628429,8020
10968,100800.0,1250
10969,67540.32258064517,620
10970,72733.64485981308,5350
10973,74115.0442477876,1130
10974,75550.31446540881,1590
10975,51562.5,160
10976,67877.90697674418,860
10977,48477.10547833197,24460
10980,77672.29254571027,7110
10983,92743.28859060403,2980
10984,82330.82706766918,1330
10985,65625.0,160
10986,82731.9587628866,970
10987,83489.30481283422,1870
10989,85009.96015936256,5020
10990,82364.04833836858,9930
10992,77838.54166666667,4800
10993,48982.558139534885,2580
10994,94712.79373368146,3830
10996,76724.13793103448,1160
10998,77890.625,1600
11001,80846.34492547906,14090
11003,56288.46942962659,24370
11004,69120.83936324168,6910
11005,111819.72789115646,1470
11010,75496.88230709275,12830
11020,95271.38157894737,3040
11021,97655.41264737406,9330
11023,99388.75305623472,4090
11024,96108.49056603774,3180
11030,119881.77623990773,8670
11040,86032.80961182994,21640
11050,96901.7094017094,15210
11096,43578.5536159601,4010
11101,75381.86157517899,20950
11102,57550.3355704698,19370
11103,55752.63662511985,20860
11104,58824.983520105474,15170
11105,60943.0832057172,19590
11106,57699.72764412165,22030
11109,126149.02506963788,3590
11201,105868.10730253354,33550
11203,43299.71181556196,38170
11204,44656.60153937241,33780
11205,60935.877466251295,19260
11206,41022.11796246649,37300
11207,36232.3311644604,44570
11208,34058.53549966615,44930
11209,68094.78741991846,34340
11210,53680.43844856661,29650
11211,65996.95219762593,31170
11212,33890.528747433265,38960
11213,41622.47265495525,30170
11214,44426.616614192295,41290
11215,95795.59178743961,33120
11216,52624.28619415519,29770
11217,89647.6833976834,20720
11218,57079.94579945799,33210
11219,36930.64182194617,33810
11220,30220.235901216365,54260
11221,42751.64113785558,41130
11222,70909.98685939553,22830
11223,48053.55535553555,33330
11224,42815.73754316724,20270
11225,48931.211828993895,31110
11226,42286.78139183056,52880
11228,56931.19035660472,19910
11229,55976.35135135135,37000
11230,53283.28259064489,36130
11231,88695.58991981672,17460
11232,43095.87471352177,13090
11233,42066.2100456621,32850
11234,62069.86747268077,43010
11235,53210.05544354839,39680
11236,46886.617100371746,48420
11237,40728.16548265775,23930
11238,76108.7436868687,31680
11239,42587.014725568944,7470
11354,38054.499366286436,31560
11355,29862.84289276808,52130
11356,44757.74424146148,12590
11357,71833.16807139316,20170
11358,55965.90909090909,19360
11360,81792.40631163708,10140
11361,64522.19040801718,13970
11362,75013.91982182628,8980
11363,83548.85057471265,3480
11364,66058.49582172702,17950
11365,55229.06062008329,21610
11366,64818.249258160235,6740
11367,53394.73684210526,19000
11368,32259.141331142153,48680
11369,40030.170049369175,18230
11370,46835.32486930545,13390
11372,47482.2695035461,35250
11373,37281.52003142184,50920
11374,61267.22652885444,23220
11375,81855.6269198548,35810
11377,44689.80877879183,46020
11378,55465.2466367713,17840
11379,66975.22271714923,17960
11385,48960.86780210868,49320
11411,55094.731977818854,10820
11412,47644.64925755248,19530
11413,52222.73143904674,21820
11414,69504.47093889717,13420
11415,65447.99176107106,9710
11416,37758.55210819411,12570
11417,47425.249169435214,15050
11418,44465.27777777778,18000
11419,37354.95234148363,24130
11420,44471.56196943973,23560
11421,43413.13763233879,20780
11422,52118.38942307692,16640
11423,48130.68920676203,15380
11426,64762.93103448276,9280
11427,58315.94323873122,11980
11428,50822.53240279163,10030
11429,46916.666666666664,13500
11430,47222.22222222222,180
11432,45361.189801699715,28240
11433,39131.406436233614,16780
11434,46287.65060240964,33200
11435,44407.649253731346,26800
11436,43781.92032686415,9790
11501,78026.9058295964,11150
11507,93490.93264248705,3860
11509,102019.23076923077,1300
11510,73128.70220786214,18570
11514,78125.0,2560
11516,85670.73170731707,3280
11518,82133.50785340313,5730
11520,52847.19377304384,24410
11530,108993.17406143344,14650
11542,65415.451895043734,13720
11545,104700.49916805324,6010
11548,81071.42857142857,700
11550,42623.16113581936,29230
11552,73099.07834101382,13020
11553,44676.709546377795,14770
11554,77935.60606060606,19800
11557,96672.6618705036,4170
11558,70533.64269141531,4310
11559,89110.82474226804,3880
11560,94230.76923076923,3380
11561,82914.95901639345,19520
11563,80878.55297157622,11610
11565,94377.61506276151,4780
11566,95621.27774769897,18470
11568,111714.28571428571,1750
11570,95610.22253129346,14380
11572,85493.82716049382,16200
11575,42615.46723952739,9310
11576,114162.75430359937,6390
11577,101921.4527027027,5920
11579,95407.19696969698,2640
11580,66897.0129291128,22430
11581,79336.0433604336,11070
11590,62942.64819091609,25980
11596,92824.49725776965,5470
11598,105177.64298093588,5770
11691,41385.86956521739,23000
11692,42646.23172103487,8890
11693,53238.34196891192,5790
11694,75784.7533632287,8920
11697,92243.30357142857,2240
11701,56179.589131875415,15090
11702,89258.31202046036,7820
11703,68769.88335100742,9430
11704,64129.14691943128,21100
11705,88189.448441247,4170
11706,55453.172205438066,33100
11709,85633.80281690141,3550
11710,87589.87831858407,18080
11713,60200.364298724955,5490
11714,76731.07890499195,12420
11715,88602.94117647059,2380
11716,75336.02150537634,5580
11717,39521.096396673856,32470
11718,103829.47976878613,1730
11719,81053.45911949685,1590
11720,71358.73229939312,14830
11721,100634.32835820895,3350
11722,45237.78920308483,19450
11724,111488.43930635838,1730
11725,89143.19248826291,14910
11726,48377.19298245614,11400
11727,65035.258562793824,14890
11729,65758.37163493106,15230
11730,82535.80729166667,7680
11731,85876.93798449612,15480
11732,97251.30890052357,1910
11733,99476.80995475114,8840
11735,74390.75630252101,17850
11738,69649.17452830188,8480
11740,88773.88535031847,4710
11741,76763.8036809816,14670
11742,75197.55747126437,6960
11743,93919.67067200712,22470
11746,76171.30307467058,34150
11747,97237.07664884135,11220
11749,62366.310160427805,1870
11751,76556.60377358491,7950
11752,71938.77551020408,5390
11753,106603.0534351145,6550
11754,84548.2546201232,9740
11755,79599.05660377358,6360
11756,74208.92934547031,23070
11757,65451.38888888889,23760
11758,85218.79240162822,29480
11762,91201.76174496644,11920
11763,64940.87837837838,14800
11764,89612.13517665131,6510
11765,115151.51515151515,330
11766,92423.01458670989,6170
11767,87020.54794520549,7300
11768,98371.51841868823,11130
11769,84130.859375,5120
11771,92250.47984644913,5210
11772,64235.2045256745,22980
11776,69263.2850241546,12420
11777,90956.34095634095,4810
11778,72009.56937799042,6270
11779,70015.37672988212,19510
11780,90523.69077306733,8020
11782,87684.27518427519,8140
11783,87902.87456445993,11480
11784,63755.98086124402,12540
11786,90781.25,3200
11787,90686.82871678914,17690
11788,84937.71234428087,8830
11789,72041.22340425532,3760
11790,91702.89855072464,6900
11791,104406.91927512355,12140
11792,89069.63470319635,4380
11793,89814.81481481482,17010
11795,85630.66465256798,13240
11796,83269.23076923077,1950
11797,108160.48034934497,4580
11798,45459.704880817255,8810
11801,66987.03620920876,22370
11803,99532.54847645429,14440
11804,102041.83266932271,2510
11901,52100.76045627376,13150
11933,69201.38888888889,3600
11934,79495.07389162561,4060
11935,82539.68253968254,1890
11937,71173.1843575419,8950
11939,74305.55555555556,540
11940,79017.85714285714,2800
11941,83072.91666666667,1440
11942,78417.96875,2560
11944,65691.48936170213,2350
11946,63122.54259501966,7630
11948,78492.64705882352,680
11949,78997.28997289973,7380
11950,51892.493638676846,7860
11951,52749.60998439937,6410
11952,77138.78326996198,2630
11953,64311.85944363104,6830
11954,64120.37037037037,2700
11955,67345.50561797753,1780
11957,90000.0,450
11958,72959.1836734694,490
11961,66625.52891396332,7090
11963,81783.91959798995,3980
11967,59068.05877803558,12930
11968,75881.26159554732,5390
11971,79276.31578947368,3040
11976,90596.33027522935,1090
11977,84007.35294117648,1360
11978,72411.61616161616,1980
11980,75545.63492063493,2520
12008,77173.91304347826,230
12009,77887.13910761155,3810
12010,49719.94025392084,13390
12015,70331.32530120482,1660
12017,59722.22222222222,180
12018,74874.68671679198,3990
12019,83105.5900621118,8050
12020,69150.49970605526,17010
12022,55357.142857142855,420
12023,66276.04166666667,960
12025,59824.723247232476,2710
12027,81399.52153110047,2090
12028,55416.666666666664,600
12029,70673.07692307692,520
12031,35000.0,100
12032,54336.73469387755,490
12033,72094.43099273607,4130
12035,50304.87804878049,410
12037,57837.83783783784,1850
12041,69230.76923076923,260
12042,57608.69565217391,230
12043,54282.40740740741,3240
12046,63571.42857142857,350
12047,58101.64083865086,10970
12051,59289.6174863388,1830
12052,63281.25,800
12053,71420.45454545454,2200
12054,87541.48230088495,9040
12056,74673.91304347826,1150
12057,53833.333333333336,750
12058,56250.0,680
12059,69145.56962025317,790
12060,71969.69696969698,660
12061,78199.40476190476,5040
12062,61337.20930232558,860
12063,75892.85714285714,280
12064,37500.0,220
12065,77024.37962559861,22970
12066,61184.21052631579,950
12067,69967.53246753247,770
12068,52798.50746268657,1340
12070,63235.294117647056,680
12071,39423.07692307692,130
12072,54527.55905511811,1270
12074,67565.35947712418,1530
12075,67052.98013245034,1510
12076,54741.379310344826,580
12077,86641.79104477612,3350
12078,45245.943204868156,9860
12083,61835.10638297872,1880
12084,74617.90393013101,2290
12085,41447.36842105263,190
12086,58552.63157894737,950
12087,59791.666666666664,600
12090,53703.7037037037,2700
12092,52455.357142857145,560
12093,50535.71428571428,700
12094,60714.28571428572,1120
12095,50833.333333333336,5700
12106,72838.34586466165,1330
12108,53260.86956521739,230
12110,70627.42248062015,10320
12116,48660.71428571428,840
12117,51715.686274509804,1530
12118,68481.59509202454,8150
12120,60267.857142857145,280
12121,65909.09090909091,990
12122,51424.87046632124,1930
12123,64971.48288973384,2630
12125,54276.31578947369,760
12130,56862.74509803922,510
12134,57182.32044198895,1810
12136,75000.0,440
12137,62921.348314606745,890
12138,57589.28571428572,1400
12139,63461.53846153846,130
12140,74297.75280898876,890
12143,57932.692307692305,2600
12144,61160.71428571428,10920
12147,66071.42857142857,280
12148,91548.58299595142,2470
12149,50612.74509803922,1020
12150,61388.88888888889,450
12151,69531.25,480
12153,75000.0,470
12154,66722.97297297297,1480
12155,47468.354430379746,790
12156,68750.0,440
12157,60305.85106382979,1880
12158,71269.23076923077,3250
12159,95657.01559020045,4490
12160,58720.93023255814,430
12164,53571.42857142857,280
12165,85625.0,200
12166,51538.46153846154,650
12167,48085.585585585584,1110
12168,56882.02247191011,890
12169,65441.17647058824,170
12170,62693.05019305019,2590
12173,56645.56962025316,790
12175,53472.22222222222,360
12176,65384.61538461538,130
12180,53255.862646566165,23880
12182,49775.24204702628,7230
12183,43660.71428571428,1400
12184,68898.80952380953,3360
12185,63392.857142857145,980
12186,83611.91860465116,3440
12187,53947.36842105263,380
12188,64558.82352941176,5950
12189,53525.64102564102,9360
12190,52500.0,350
12192,55128.205128205125,780
12193,61785.71428571428,1050
12194,52500.0,100
12196,76831.2101910828,1570
12197,51250.0,1000
12198,70681.26520681265,4110
12202,30877.29357798165,4360
12203,64522.32796486091,13660
12204,59015.3452685422,3910
12205,59389.593062041364,14990
12206,34641.82344428365,6910
12207,42275.2808988764,890
12208,59791.666666666664,10200
12209,48516.94915254237,5310
12210,41493.775933609955,4820
12211,88793.10344827586,6090
12302,68993.39360222532,14380
12303,60658.59323158593,15070
12304,46172.24880382775,10450
12305,42429.57746478873,2130
12306,58176.82494684621,14110
12307,25000.0,2900
12308,43348.9827856025,6390
12309,84836.9916074887,15490
12401,52278.88086642599,16620
12404,63988.09523809524,1680
12405,50378.78787878788,330
12406,44758.06451612903,310
12407,39583.333333333336,120
12409,69132.6530612245,490
12410,55468.75,160
12411,59615.38461538462,260
12412,57196.969696969696,330
12413,47278.91156462585,1470
12414,52462.92372881356,4720
12416,35000.0,100
12418,52314.81481481482,270
12419,65441.17647058824,340
12421,61111.11111111111,180
12422,51785.71428571428,140
12423,51822.916666666664,480
12424,45000.0,100
12427,39772.72727272727,220
12428,47805.34351145038,2620
12430,50000.0,460
12431,57042.25352112676,710
12433,61875.0,200
12434,42045.454545454544,330
12435,60156.25,160
12439,47222.22222222222,180
12440,65782.82828282828,990
12442,48913.04347826087,460
12443,73514.85148514851,2020
12444,58035.71428571428,140
12446,57111.11111111111,2250
12449,55214.72392638037,1630
12451,53230.33707865168,890
12454,35416.666666666664,120
12455,50833.333333333336,750
12456,45312.5,400
12457,57661.290322580644,310
12458,50707.54716981132,1060
12460,50961.53846153846,130
12461,60551.94805194805,770
12463,56666.666666666664,750
12464,51136.36363636364,440
12466,61057.692307692305,1560
12468,47135.416666666664,480
12469,58203.125,320
12470,46195.65217391304,230
12472,55255.681818181816,880
12473,54255.31914893617,470
12474,58564.81481481482,540
12477,57136.87150837989,8950
12480,47596.153846153844,260
12481,63432.835820895525,670
12482,42803.030303030304,330
12484,72359.15492957746,1420
12485,48214.28571428572,490
12486,68019.48051948052,770
12487,59589.04109589041,1460
12491,61386.13861386139,1010
12492,63636.36363636364,110
12494,62132.35294117647,340
12495,70192.30769230769,130
12496,59888.05970149254,670
12498,73581.93277310925,2380
12501,58578.43137254902,1020
12502,68489.58333333333,480
12503,61637.93103448276,290
12508,63703.284258210646,8830
12513,69866.07142857143,560
12514,80648.14814814815,1350
12515,57440.47619047619,840
12516,58717.10526315789,760
12517,57500.0,200
12518,77343.75,3040
12520,83309.2485549133,1730
12521,61148.64864864865,740
12522,57934.782608695656,2300
12523,56250.0,840
12524,75666.87344913151,8060
12525,69583.33333333333,1800
12526,63750.0,1800
12528,66312.94964028777,6950
12529,64636.75213675214,1170
12531,80188.67924528301,1590
12533,85067.82945736434,12900
12534,51224.22680412371,7760
12538,63764.66275659824,6820
12540,86184.21052631579,3800
12542,68023.25581395348,3010
12543,55031.446540880504,1590
12545,76851.85185185185,2160
12546,59485.81560283688,1410
12547,65080.645161290326,1550
12548,65953.94736842105,760
12549,74002.91828793775,5140
12550,54142.63744713572,26010
12553,64794.95861550038,13290
12561,69738.65199449794,7270
12563,71074.38016528926,3630
12564,76745.01424501424,3510
12565,45945.94594594595,740
12566,65991.2109375,5120
12567,62022.900763358775,1310
12569,72568.093385214,5140
12570,85127.47875354107,3530
12571,71949.24406047516,4630
12572,78145.87973273943,4490
12575,82838.98305084746,1180
12577,80168.26923076923,1040
12578,75945.3781512605,1190
12580,73138.29787234042,1880
12581,70465.6862745098,1020
12582,85098.25327510916,2290
12583,63942.307692307695,1040
12585,82558.13953488372,430
12586,63440.0,6250
12589,64878.397711015736,6990
12590,70276.89454160043,18870
12592,58564.81481481482,540
12594,62373.73737373737,1980
12601,49403.79403794038,18450
12603,71497.18837863168,21340
12701,42174.1452991453,4680
12719,58238.63636363636,440
12720,55681.818181818184,110
12721,62118.64406779661,2950
12723,57601.35135135135,740
12725,44642.857142857145,140
12726,62500.0,480
12729,49038.46153846154,780
12732,58881.57894736842,380
12733,33500.0,250
12734,47767.857142857145,560
12737,60267.857142857145,840
12738,43750.0,120
12740,62780.89887640449,890
12741,40833.333333333336,150
12742,37500.0,180
12743,52884.61538461538,130
12745,50000.0,100
12746,51535.087719298244,570
12747,53782.89473684211,760
12748,59139.784946236556,930
12751,38081.395348837206,430
12752,52500.0,150
12754,46796.028880866426,2770
12758,51944.444444444445,1800
12759,39705.882352941175,680
12760,44642.857142857145,210
12762,52403.846153846156,260
12763,54513.88888888889,360
12764,57401.31578947369,760
12765,64583.333333333336,420
12766,40441.17647058824,170
12768,54545.454545454544,440
12771,53175.24115755627,6220
12775,72348.48484848485,1320
12776,56845.23809523809,840
12777,68750.0,360
12779,46590.90909090909,990
